"Remove from compare","Remove from compare"
"Resetting the password ... ","Resetting the password ... "
"Error while sending reset password e-mail","Error while sending reset password e-mail"
"Authorization in progress ...","Authorization in progress ..."
"You have been successfully subscribed to our newsletter!","You have been successfully subscribed to our newsletter!"
"Everything new","Everything new"
"Get inspired","Get inspired"
"Size guide","Size guide"
"Add to favorite","Add to favorite"
"Add to compare","Add to compare"
"Product details","Product details"
"Filters","Filters"
"My account","My account"
"My Account","My Account"
"Logout","Logout"
"Enter your email to receive instructions on how to reset your password.","Enter your email to receive instructions on how to reset your password."
"Reset password","Reset password"
"or","or"
"return to log in","return to log in"
"Back to login","Back to login"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","We've sent password reset instructions to your email. Check your inbox and follow the link."
"Log in","Log in"
"Remember me","Remember me"
"Forgot the password?","Forgot the password?"
"Log in to your account","Log in to your account"
"You must accept the terms and conditions.","You must accept the terms and conditions."
"Register","Register"
"register an account","register an account"
"Register an account","Register an account"
"login to your account","login to your account"
"Filter","Filter"
"Clear filters","Clear filters"
"color_filter","Color"
"size_filter","Size"
"price_filter","Price"
"Price","Price"
"Order Summary","Order Summary"
"Safety","Safety"
"Shipping","Shipping"
"Payment","Payment"
"Returns","Returns"
"Review order","Review order"
"Please check if all data are correct","Please check if all data are correct"
"I agree to","I agree to"
"Terms and conditions","Terms and conditions"
"Place the order","Place the order"
"Edit payment","Edit payment"
"We will send you the invoice to given e-mail address","We will send you the invoice to given e-mail address"
"Payment method","Payment method"
"Go review the order","Go review the order"
"Phone number may be needed by carrier","Phone number may be needed by carrier"
"Personal Details","Personal Details"
"Edit personal details","Edit personal details"
"Continue to shipping","Continue to shipping"
"We will send you details regarding the order","We will send you details regarding the order"
"The new account will be created with the purchase. You will receive details on e-mail.","The new account will be created with the purchase. You will receive details on e-mail."
"Qty","Qty"
"Edit shipping","Edit shipping"
"Ship to my default address","Ship to my default address"
"Shipping method","Shipping method"
"Continue to payment","Continue to payment"
"Departments","Departments"
"Women fashion","Women fashion"
"Men's fashion","Men's fashion"
"Kidswear","Kidswear"
"Home","Home"
"Orders","Orders"
"Track my order","Track my order"
"Delivery","Delivery"
"Return policy","Return policy"
"Customer service","Customer service"
"Contact us","Contact us"
"About us","About us"
"Price: High to low","Price: High to low"
"Price: Low to high","Price: Low to high"
"Clear","Clear"
"About us (Magento CMS)","About us (Magento CMS)"
"Store locator","Store locator"
"Legal notice","Legal notice"
"Privacy policy","Privacy policy"
"Subscribe to the newsletter and receive a coupon for 10% off","Subscribe to the newsletter and receive a coupon for 10% off"
"Subscribe","Subscribe"
"Return to shopping","Return to shopping"
"Login to your account","Login to your account"
"You are logged in as","You are logged in as"
"Edit","Edit"
"Shopping cart","Shopping cart"
"Clear cart","Clear cart"
"Your shopping cart is empty.","Your shopping cart is empty."
"Don't hesitate and","Don't hesitate and"
"browse our catalog","browse our catalog"
"to find something beautiful for You!","to find something beautiful for You!"
"Shopping summary","Shopping summary"
"Go to checkout","Go to checkout"
"Remove","Remove"
"My newsletter","My newsletter"
"Edit newsletter preferences","Edit newsletter preferences"
"General agreement","General agreement"
"Cancel","Cancel"
"Update my preferences","Update my preferences"
"My profile","My profile"
"Edit your profile","Edit your profile"
